Date,Hagfish,Success,Knot Type,Handedness,Time of Day,Duration,"Flipped (Y=1, N=0)",C/CC,Previous knot
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,C,N/A
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,C,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,C,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,C,
8/4/18,1,0,fig8,over-under,1:50: PM,3:35,0,C,
8/4/18,1,1,fig8,over-under,1:50: PM,3:35,0,C,
8/4/18,1,0,fig8,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,0,fig8,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,fig8,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,0,fig8,under-over,1:50: PM,3:35,1,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,1,CC,
8/4/18,1,0,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,0,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,0,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,1,1,OH,over-under,1:50: PM,3:35,0,CC,
8/4/18,2,0,OH,under-over,2:25: PM,0:54,1,CC,
8/4/18,2,1,OH,under-over,2:25: PM,0:54,1,C,
8/4/18,2,0,OH,over-under,2:25: PM,0:54,0,CC,
8/4/18,2,1,OH,under-over,2:25: PM,0:54,1,C,
8/4/18,3,1,OH,over-under,2:45: PM,2:04,1,CC,
8/4/18,3,0,fig8,over-under,2:45: PM,2:04,0,CC,
8/4/18,3,0,fig8,over-under,2:45: PM,2:04,0,CC,
8/4/18,3,1,OH,over-under,2:45: PM,2:04,0,C,
8/4/18,3,0,OH,over-under,2:45: PM,2:04,1,CC,
8/4/18,3,1,fig8,over-under,2:45: PM,2:04,0,CC,
8/4/18,3,1,OH,under-over,2:45: PM,2:04,0,CC,
8/4/18,3,0,OH,over-under,2:45: PM,2:04,0,CC,
8/4/18,3,0,fig8,over-under,2:45: PM,2:04,0,CC,
8/4/18,3,1,OH,over-under,2:45: PM,2:04,0,C,
8/4/18,5,0,OH,over-under,5:10: PM,0:54,0,CC,
8/4/18,5,1,fig8,over-under,5:10: PM,0:54,0,CC,
8/4/18,5,0,OH,over-under,5:10: PM,0:54,0,CC,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,C,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,CC,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,C,
8/4/18,6,0,fig8,under-over,5:25: PM,1:05,1,CC,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,CC,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,C,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,CC,
8/4/18,6,1,fig8,over-under,5:25: PM,1:05,0,C,
8/4/18,6,0,fig8,over-under,5:25: PM,1:05,0,CC,
8/4/18,6,0,fig8,over-under,5:25: PM,1:05,0,C,
8/4/18,6,0,fig8,over-under,5:25: PM,1:05,0,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,0,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,1,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,1,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,0,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,0,C,
8/5/18,7,1,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,1,OH,over-under,12:35: PM,1:22,1,C,
8/5/18,7,1,OH,under-over,12:35: PM,1:22,1,CC,
8/5/18,7,1,OH,over-under,12:35: PM,1:22,1,CC,
8/5/18,7,0,OH,over-under,12:35: PM,1:22,1,C,
8/5/18,10,0,OH,over-under,6:55 PM,2:09,0,C,
8/5/18,10,0,OH,over-under,6:55 PM,2:09,0,CC,
8/5/18,10,0,OH,over-under,6:55 PM,2:09,0,CC,